country,food_category,amount,type
Czech Republic,Eggs,11.66,consumption
Czech Republic,Milk - inc. cheese,195.2,consumption
Czech Republic,Wheat and Wheat Products,92.67,consumption
Czech Republic,Rice,4.79,consumption
Czech Republic,Soybeans,0.82,consumption
Czech Republic,Nuts inc. Peanut Butter,2.47,consumption
Romania,Pork,25.31,consumption
Romania,Poultry,15.38,consumption
Romania,Beef,4.78,consumption
Romania,Lamb & Goat,3.41,consumption
Romania,Fish,6.07,consumption
Romania,Eggs,12.94,consumption
Romania,Milk - inc. cheese,238.33,consumption
Romania,Wheat and Wheat Products,134.87,consumption
Romania,Rice,2.59,consumption
Romania,Soybeans,0.01,consumption
Romania,Nuts inc. Peanut Butter,1.8,consumption
Colombia,Pork,6.51,consumption
Colombia,Poultry,27.57,consumption
Colombia,Beef,16.36,consumption
Colombia,Lamb & Goat,0.21,consumption
Colombia,Fish,6.01,consumption
Colombia,Eggs,10.78,consumption
Colombia,Milk - inc. cheese,108.47,consumption
Colombia,Wheat and Wheat Products,29.79,consumption
Colombia,Rice,28.02,consumption
Colombia,Soybeans,0.89,consumption
Colombia,Nuts inc. Peanut Butter,0.42,consumption
Maldives,Pork,1.22,consumption
Maldives,Poultry,18.47,consumption
Maldives,Beef,9.44,consumption
Maldives,Lamb & Goat,0.7,consumption
Maldives,Fish,179.71,consumption
Maldives,Eggs,10.79,consumption
Maldives,Milk - inc. cheese,111.47,consumption
Maldives,Wheat and Wheat Products,77.77,consumption
Maldives,Rice,50.73,consumption
Maldives,Soybeans,0.2,consumption
Maldives,Nuts inc. Peanut Butter,15.83,consumption
Cyprus,Pork,38.38,consumption
Cyprus,Poultry,24.45,consumption
Cyprus,Beef,5.79,consumption
Cyprus,Lamb & Goat,5.05,consumption
Cyprus,Fish,14.86,consumption
Cyprus,Eggs,8.98,consumption
Cyprus,Milk - inc. cheese,113.31,consumption
Cyprus,Wheat and Wheat Products,83.25,consumption
Cyprus,Rice,4.94,consumption
Cyprus,Soybeans,0.04,consumption
Cyprus,Nuts inc. Peanut Butter,4.6,consumption
Serbia,Pork,32.04,consumption
Serbia,Poultry,10.64,consumption
Serbia,Beef,7.05,consumption
Serbia,Lamb & Goat,3.56,consumption
Serbia,Fish,5.59,consumption
Serbia,Eggs,8.89,consumption
Serbia,Milk - inc. cheese,148.53,consumption
Serbia,Wheat and Wheat Products,105.88,consumption
Serbia,Rice,1.22,consumption
Serbia,Soybeans,0,consumption
Serbia,Nuts inc. Peanut Butter,3.31,consumption
United Arab Emirates,Pork,0,consumption
United Arab Emirates,Poultry,41.04,consumption
United Arab Emirates,Beef,5.64,consumption
United Arab Emirates,Lamb & Goat,9.08,consumption
United Arab Emirates,Fish,20.41,consumption
United Arab Emirates,Eggs,8.23,consumption
United Arab Emirates,Milk - inc. cheese,132.66,consumption
United Arab Emirates,Wheat and Wheat Products,101.29,consumption
United Arab Emirates,Rice,56.25,consumption
United Arab Emirates,Soybeans,0.08,consumption
United Arab Emirates,Nuts inc. Peanut Butter,23.03,consumption
Algeria,Pork,0,consumption
Algeria,Poultry,7.42,consumption
Algeria,Beef,5.6,consumption
Algeria,Lamb & Goat,7.69,consumption
Algeria,Fish,3.74,consumption
Algeria,Eggs,8.06,consumption
Algeria,Milk - inc. cheese,141.53,consumption
Algeria,Wheat and Wheat Products,185.42,consumption
Algeria,Rice,2.97,consumption
Algeria,Soybeans,0,consumption
Algeria,Nuts inc. Peanut Butter,2.08,consumption
Ukraine,Pork,20.56,consumption
